description,category
"Bought groceries at the supermarket","Shopping"
"Refueling my car","Transportation"
"Purchased a new phone","Shopping"
"Coffee at the cafe","Food and Drink"
"Taxi fare to the office","Transportation"
"Bought a pair of shoes","Shopping"
"Monthly rent payment","Housing"
"Electricity bill payment","Utilities"
"Dining out at a restaurant","Food and Drink"
"Movie tickets for the weekend","Entertainment"
"Gym membership fee","Health"
"Online course for personal development","Education"